id,published,name,gh_owner,gh_repo,purl,severity,categories,introduced_version,patched_version,dependents
RUSTSEC-2019-0013,2019-08-27T12:00:00Z,spin,mvdnes,spin-rs,pkg:cargo/spin,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H'}]",[],0.0.0-0,0.5.2,"{'wee_alloc': {'downloads': 1598238, 'github_url': 'https://github.com/fitzgen', 'version': '0.4.5'}, 'lazy_static': {'downloads': 166446909, 'github_url': 'https://github.com/KodrAus', 'version': '1.4.0'}, 'no-std-compat': {'downloads': 4999194, 'github_url': 'https://github.com/jD91mZM2', 'version': '0.4.1'}, 'reed-solomon-erasure': {'downloads': 302013, 'github_url': 'https://github.com/mvines', 'version': '6.0.0'}, 'multer': {'downloads': 3623213, 'github_url': 'https://github.com/SergioBenitez', 'version': '2.1.0'}, 'page_size': {'downloads': 103749, 'github_url': 'https://github.com/Elzair', 'version': '0.6.0'}, 'flume': {'downloads': 1285770, 'github_url': 'https://github.com/zesterer', 'version': '0.11.0'}, 'error-stack': {'downloads': 44512, 'github_url': 'https://github.com/hashdotai', 'version': '0.4.1'}, 'ring': {'downloads': 188267, 'github_url': 'https://github.com/briansmith', 'version': '0.17.6'}, 'wasmi': {'downloads': 228, 'github_url': 'https://github.com/Robbepop', 'version': '0.31.1'}}"
RUSTSEC-2020-0081,2020-11-02T12:00:00Z,mio,tokio-rs,mio,pkg:cargo/mio,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H'}]",[],0.7.0,0.7.6,"{'mio-extras': {'downloads': 10009474, 'github_url': 'https://github.com/dimbleby', 'version': '2.0.6'}, 'tokio-tcp': {'downloads': 7573107, 'github_url': 'https://github.com/LucioFranco', 'version': '0.1.4'}, 'tokio-reactor': {'downloads': 7710503, 'github_url': 'https://github.com/LucioFranco', 'version': '0.1.12'}, 'mio-uds': {'downloads': 11541461, 'github_url': 'https://github.com/pfmooney', 'version': '0.6.8'}, 'curl': {'downloads': 6696666, 'github_url': 'https://github.com/sagebind', 'version': '0.4.44'}, 'crossterm': {'downloads': 758908, 'github_url': 'https://github.com/TimonPost', 'version': '0.27.0'}, 'notify': {'downloads': 926066, 'github_url': 'https://github.com/0xpr03', 'version': '6.1.1'}, 'actix-server': {'downloads': 1075249, 'github_url': 'https://github.com/robjtede', 'version': '2.3.0'}, 'tokio': {'downloads': 1807998, 'github_url': 'https://github.com/carllerche', 'version': '1.34.0'}, 'io-lifetimes': {'downloads': 1613, 'github_url': 'https://github.com/sunfishcode', 'version': '2.0.3'}}"
RUSTSEC-2016-0001,2016-11-05T12:00:00Z,openssl,sfackler,rust-openssl,pkg:cargo/openssl,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H'}]",[],0.0.0-0,0.9.0,"{'tokio-tls': {'downloads': 7645638, 'github_url': 'https://github.com/LucioFranco', 'version': '0.3.1'}, 'tokio-openssl': {'downloads': 5623455, 'github_url': 'https://github.com/sfackler', 'version': '0.6.3'}, 'sha1_smol': {'downloads': 14440481, 'github_url': 'https://github.com/mitsuhiko', 'version': '1.0.0'}, 'zuse': {'downloads': 412, 'github_url': 'https://github.com/19h', 'version': '0.5.0'}, 'native-tls': {'downloads': 21015358, 'github_url': 'https://github.com/sfackler', 'version': '0.2.11'}, 'tokio-native-tls': {'downloads': 15074752, 'github_url': 'https://github.com/Noah-Kennedy', 'version': '0.3.1'}, 'awc': {'downloads': 132025, 'github_url': 'https://github.com/robjtede', 'version': '3.2.0'}, 'actix-tls': {'downloads': 303309, 'github_url': 'https://github.com/robjtede', 'version': '3.1.1'}, 'rcgen': {'downloads': 184971, 'github_url': 'https://github.com/est31', 'version': '0.11.3'}, 'trust-dns-proto': {'downloads': 169359, 'github_url': 'https://github.com/bluejekyll', 'version': '0.23.2'}}"
RUSTSEC-2021-0025,2021-02-15T12:00:00Z,jsonrpc-quic,maidsafe,sn_api,pkg:cargo/jsonrpc-quic,[],[],0.0.0-0,,"{'safe-api': {'downloads': 223, 'github_url': 'https://github.com/MaidSafe-QA', 'version': '0.15.1'}}"
RUSTSEC-2022-0070,2022-11-30T12:00:00Z,secp256k1,rust-bitcoin,rust-secp256k1,rust-bitcoin,rust-secp256k1,pkg:cargo/secp256k1,[],['memory-corruption'],0.24.0,0.24.2,"{'bitcoinconsensus': {'downloads': 5832, 'github_url': 'https://github.com/tamasblummer', 'version': '0.17.1'}, 'parity-crypto': {'downloads': 222532, 'github_url': 'https://github.com/ordian', 'version': '0.9.0'}, 'libsecp256k1': {'downloads': 2341269, 'github_url': 'https://github.com/dvdplm', 'version': '0.7.1'}, 'bip32': {'downloads': 89013, 'github_url': 'https://github.com/tony-iqlusion', 'version': '0.5.1'}, 'web3': {'downloads': 147156, 'github_url': 'https://github.com/tomusdrw', 'version': '0.19.0'}, 'bitcoin': {'downloads': 8255, 'github_url': 'https://github.com/apoelstra', 'version': '0.31.0'}, 'sp-core': {'downloads': 1981, 'github_url': 'https://github.com/parity-crate-owner', 'version': '26.0.0'}, 'sp-io': {'downloads': 1889, 'github_url': 'https://github.com/parity-crate-owner', 'version': '28.0.0'}, 'miniscript': {'downloads': 70, 'github_url': 'https://github.com/apoelstra', 'version': '11.0.0'}, 'enr': {'downloads': 98, 'github_url': 'https://github.com/AgeManning', 'version': '0.10.0'}}"
RUSTSEC-2020-0039,2020-09-03T12:00:00Z,simple-slab,nathansizemore,simple-slab,pkg:cargo/simple-slab,[],[],0.0.0-0,0.3.3,"{'hydrogen': {'downloads': 512, 'github_url': ''}}"
RUSTSEC-2021-0137,2021-10-22T12:00:00Z,sodiumoxide,sodiumoxide,sodiumoxide,pkg:cargo/sodiumoxide,[],[],0.0.0-0,,"{'maidsafe_types': {'downloads': 4190, 'github_url': ''}, 'nat_traversal': {'downloads': 2001, 'github_url': ''}, 'edcert': {'downloads': 3161, 'github_url': ''}, 'sovrin-client': {'downloads': 551, 'github_url': ''}, 'discord': {'downloads': 3970, 'github_url': 'https://github.com/SpaceManiac', 'version': '0.8.1'}, 'dup-crypto': {'downloads': 2963, 'github_url': 'https://github.com/librelois', 'version': '0.58.0'}, 'rdedup-lib': {'downloads': 1010, 'github_url': 'https://github.com/dpc', 'version': '3.2.0'}, 'radicle-keystore': {'downloads': 6095, 'github_url': 'https://github.com/FintanH', 'version': '0.2.0'}, 'dryoc': {'downloads': 2604, 'github_url': 'https://github.com/brndnmtthws', 'version': '0.5.1'}, 'snow': {'downloads': 94891, 'github_url': 'https://github.com/mcginty', 'version': '0.9.4'}}"
RUSTSEC-2021-0072,2021-07-07T12:00:00Z,tokio,tokio-rs,tokio,pkg:cargo/tokio,[],['memory-corruption'],1.8.0,1.8.1,"{'tower-service': {'downloads': 44836197, 'github_url': 'https://github.com/hawkw', 'version': '0.3.2'}, 'tokio-rustls': {'downloads': 9605903, 'github_url': 'https://github.com/djc', 'version': '0.24.1'}, 'reqwest': {'downloads': 3449481, 'github_url': 'https://github.com/seanmonstar', 'version': '0.11.22'}, 'tokio-util': {'downloads': 2767730, 'github_url': 'https://github.com/Darksonn', 'version': '0.7.10'}, 'futures-util': {'downloads': 3527282, 'github_url': 'https://github.com/taiki-e', 'version': '0.3.29'}, 'futures': {'downloads': 2729791, 'github_url': 'https://github.com/taiki-e', 'version': '0.3.29'}, 'tokio-macros': {'downloads': 1576071, 'github_url': 'https://github.com/carllerche', 'version': '2.2.0'}, 'tracing-subscriber': {'downloads': 849587, 'github_url': 'https://github.com/hawkw', 'version': '0.3.18'}, 'h2': {'downloads': 36966, 'github_url': 'https://github.com/seanmonstar', 'version': '0.4.0'}, 'hyper': {'downloads': 41533, 'github_url': 'https://github.com/seanmonstar', 'version': '1.0.1'}}"
RUSTSEC-2022-0027,2022-05-03T12:00:00Z,openssl-src,,,pkg:cargo/openssl-src,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N'}]",['crypto-failure'],300.0.0,300.0.6,"{'datachannel-sys': {'downloads': 95, 'github_url': 'https://github.com/lerouxrgd', 'version': '0.19.1'}, 'openssl-sys': {'downloads': 351159, 'github_url': 'https://github.com/alex', 'version': '0.9.96'}, 'tongsuo-sys': {'downloads': 489, 'github_url': 'https://github.com/zh-jq', 'version': '0.9.96'}, 'summa-core': {'downloads': 32, 'github_url': 'https://github.com/ppodolsky', 'version': '0.22.7'}}"
RUSTSEC-2020-0107,2020-11-10T12:00:00Z,hashconsing,AdrienChampion,hashconsing,pkg:cargo/hashconsing,"[{'type': 'CVSS_V3', 'score': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H'}]","['memory-corruption', 'thread-safety']",0.0.0-0,1.1.0,"{'zdd': {'downloads': 285, 'github_url': 'https://github.com/AdrienChampion', 'version': '0.3.0'}}"
